run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
3060.8244992291643,2150.4781229431624,2394.8651758279407,2535.405571358296,1095.6513066786363,3166.2169816366295,1793.4165134051755,2326.035220776346,1811.2894618629985,1402.5984980087858
3060.8244992291643,2150.4781229431624,2394.8651758279407,2535.405571358296,1095.6513066786363,3166.2169816366295,1745.2825924586318,2326.035220776346,1811.2894618629985,1402.5984980087858
3060.8244992291643,2150.4781229431624,2394.8651758279407,2535.405571358296,1095.6513066786363,2939.3365135295844,1568.5841012273352,2326.035220776346,1811.2894618629985,1402.5984980087858
3060.8244992291643,2150.4781229431624,2394.8651758279407,2535.405571358296,1095.6513066786363,2939.3365135295844,1568.5841012273352,2248.4962783293104,1551.6825390481483,1402.5984980087858
3060.8244992291643,2150.4781229431624,2394.8651758279407,2535.405571358296,1095.6513066786363,2596.871352339391,1568.5841012273352,1823.3043614635671,1551.6825390481483,1235.1747668852727
2186.624149258906,2150.4781229431624,2369.202620725846,2535.405571358296,1095.6513066786363,2446.5097662863955,1568.5841012273352,1823.3043614635671,1551.6825390481483,1235.1747668852727
2186.624149258906,2150.4781229431624,2369.202620725846,2535.405571358296,1095.6513066786363,2446.5097662863955,1568.5841012273352,1823.3043614635671,1551.6825390481483,1235.1747668852727
2186.624149258906,2150.4781229431624,2369.202620725846,2535.405571358296,1095.6513066786363,2446.5097662863955,1568.5841012273352,1823.3043614635671,1423.9772292759508,1210.7304196292803
2026.7674214827612,2150.4781229431624,2369.202620725846,2535.405571358296,1095.6513066786363,2316.7486445411323,1568.5841012273352,1823.3043614635671,1319.8739430057258,1210.7304196292803
2026.7674214827612,2150.4781229431624,2212.841477730375,2535.405571358296,1095.6513066786363,2316.7486445411323,1550.3284523554164,1823.3043614635671,1319.8739430057258,1198.1705618534056
2026.7674214827612,1898.7965374624391,2054.008977248212,2505.49830980167,1095.6513066786363,2316.7486445411323,1380.2103813751519,1823.3043614635671,1319.8739430057258,1198.1705618534056
2026.7674214827612,1898.7965374624391,1907.8853448685059,2505.49830980167,1095.6513066786363,1883.1263689495154,1380.2103813751519,1823.3043614635671,1319.8739430057258,1198.1705618534056
2026.7674214827612,1898.7965374624391,1907.8853448685059,2127.0050051863195,1095.6513066786363,1883.1263689495154,1380.2103813751519,1823.3043614635671,1319.8739430057258,1198.1705618534056
1734.1465134363705,1898.7965374624391,1679.8503430364149,2127.0050051863195,1095.6513066786363,1883.1263689495154,1380.2103813751519,1620.5435154441966,1319.8739430057258,1190.37188273748
1734.1465134363705,1898.7965374624391,1679.8503430364149,2127.0050051863195,1095.6513066786363,1874.3351143751192,1340.5511835701743,1620.5435154441966,1260.2115078845259,1190.37188273748
1667.7506607874684,1898.7965374624391,1679.8503430364149,2127.0050051863195,1095.6513066786363,1794.4296916249723,1299.0681209349011,1553.4883307970636,1260.2115078845259,1190.37188273748
1632.8959515021872,1898.7965374624391,1679.8503430364149,2127.0050051863195,1095.6513066786363,1570.4762256028034,1214.7801643812038,1531.2362702349512,1200.0074928825798,1171.4403205312296
1632.8959515021872,1573.211728339159,1679.8503430364149,2115.1375477596134,1095.6513066786363,1570.4762256028034,1151.4534923783792,1436.8640249114383,1136.6467149153973,1109.8545345417522
